strategy,best_scenario,best_scenario_win_rate,worst_scenario,worst_scenario_win_rate,troop_count_sensitivity,battlefield_count_sensitivity,value_concentration_sensitivity,win_rate_range
anti_top_heavy,wide,0.8608333333333333,small,0.6133333333333333,0.8843016745715377,0.9307999618453251,-0.964849055442212,0.24750000000000005
balanced_priority,wide,0.4536111111111111,small,0.29555555555555557,0.8760500687146024,0.9373943746924194,-0.9024896111075537,0.1580555555555555
defensive_spread,wide,0.5894444444444444,baseline,0.33244444444444443,0.8483181092329797,0.8365576561784379,-0.7821574725347221,0.257
noisy_weighted,large,0.687936507936508,small,0.5385185185185185,0.8937684258165445,0.937788552736056,-0.8999827072047395,0.14941798941798945
random_partition,large,0.27714285714285714,wide,0.22083333333333333,-0.2699153450419672,-0.22950947380856823,0.18207542478761846,0.05630952380952381
top_heavy,wide,0.1802777777777778,small,0.16592592592592592,0.9715103189974414,0.9489206849685471,-0.9663975815417246,0.014351851851851866
uniform,large,0.3558730158730159,baseline,0.18755555555555556,0.7675795480772026,0.7872999226485613,-0.7252562708339766,0.16831746031746034
weighted_value,large,0.7339682539682539,small,0.5392592592592593,0.8453874316005392,0.9197378129726174,-0.9105201480448247,0.1947089947089946
winner_take_most,high_value,0.7688888888888888,large,0.005396825396825396,-0.7908121056188901,-0.8759670258059801,0.8004075192068921,0.7634920634920634
